user_id,anomaly_count,anomaly_rate,max_anomaly_score,avg_anomaly_score,recent_anomaly_trend,anomalous_dates,method_used
U0011,4,0.07547169811320754,2.572485199395595,1.4111456299429956,0.6851384521012877,"[Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0012,3,0.05660377358490566,2.8913823239273055,1.332654395130566,0.6871842709362765,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0013,7,0.1320754716981132,2.7010806484323027,1.174060860330455,0.5410017808004594,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0014,5,0.09433962264150944,3.0743414355831975,1.338791980033934,0.7442230117407826,"[Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-24 00:00:00'), Timestamp('2025-07-01 00:00:00')]",statistical
U0015,5,0.09433962264150944,2.9123274843579643,1.4632380969296255,0.8423461050110967,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-28 00:00:00'), Timestamp('2025-06-29 00:00:00')]",statistical
U0016,5,0.09433962264150944,5.049752469181039,1.196079851672569,0.6236264816427803,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0017,3,0.05660377358490566,2.7226509947014867,1.3878347638237682,0.5991446895152779,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00')]",statistical
U0018,3,0.05660377358490566,2.7429701694182658,1.423832964189642,0.657595949221429,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0019,11,0.20754716981132076,2.798809270624444,1.1052794840273832,0.45226701686664567,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0020,2,0.03773584905660377,2.818978414640002,1.3105333802217944,0.657595949221429,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0021,2,0.03773584905660377,2.9330311919091097,1.325537203330134,0.7143919091363614,"[Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0022,0,0.0,2.3888888888888893,1.1055202317727981,0.5838482921350614,[],statistical
U0023,5,0.09433962264150944,2.887947520038765,1.424500727231659,0.9541709567944527,"[Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-25 00:00:00'), Timestamp('2025-06-26 00:00:00'), Timestamp('2025-06-27 00:00:00'), Timestamp('2025-06-28 00:00:00')]",statistical
U0024,5,0.09433962264150944,2.9034070862265726,1.4159913111526012,0.885119815980478,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-18 00:00:00')]",statistical
U0025,3,0.05660377358490566,2.92824414351757,1.449067527449659,1.0696746826694032,"[Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0026,3,0.05660377358490566,2.860328804650333,0.9625997697884935,0.5085028986045036,"[Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-18 00:00:00')]",statistical
U0027,3,0.05660377358490566,3.074341435583198,1.0003877163399018,0.546549588548124,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-15 00:00:00')]",statistical
U0028,7,0.1320754716981132,2.9071311956898342,1.2221365522069865,0.6299993847665261,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0029,3,0.05660377358490566,3.0983866769659336,1.363411323238483,0.5846711606019694,"[Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0030,4,0.07547169811320754,2.584397630224713,1.250449817919795,0.764802334954337,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0031,2,0.03773584905660377,2.6739157652491605,1.4874394710285868,1.267105311940861,"[Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0032,5,0.09433962264150944,2.801628039497234,1.3755411452595183,0.8114992705758917,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0033,7,0.1320754716981132,2.9834709485930815,1.2405023639342068,0.6575959492214293,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-21 00:00:00')]",statistical
U0034,5,0.09433962264150944,2.659098539664701,0.9405638827785373,0.47272862927372467,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0035,1,0.018867924528301886,2.8611103616014653,0.965636789697731,0.5086418420624828,[Timestamp('2025-06-13 00:00:00')],statistical
U0036,5,0.09433962264150944,2.6005541100675664,0.9274428212327759,0.46232073067867846,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0037,3,0.05660377358490566,2.5639117400668674,1.026495234221677,0.5863363266286391,"[Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00')]",statistical
U0038,12,0.22641509433962265,2.895127312357643,1.1816893625523448,0.5021069508516945,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0039,4,0.07547169811320754,2.7554004343632634,1.2945591687691662,0.5483744228271952,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0040,5,0.09433962264150944,2.9834709485930815,1.2422863079805797,0.6015624999999999,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00')]",statistical
U0041,5,0.09433962264150944,2.8235511231217134,1.3678277701341928,0.7964679739199666,"[Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-23 00:00:00'), Timestamp('2025-06-24 00:00:00')]",statistical
U0042,6,0.11320754716981132,2.9901836670154642,1.3109391796724008,0.6057132317646491,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0043,3,0.05660377358490566,2.8252305588824735,1.5091751141668501,0.823662792685214,"[Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0044,5,0.09433962264150944,2.900209467136991,1.1743924065632303,0.5155927941576872,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0045,4,0.07547169811320754,2.891382323927305,1.1577767884987236,0.5140235242537433,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0046,4,0.07547169811320754,2.712615874708568,1.4010907553163665,0.6344343652327644,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0047,6,0.11320754716981132,4.08248290463863,1.283309649365344,0.5610157086597668,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-18 00:00:00')]",statistical
U0048,2,0.03773584905660377,2.6114918685607886,1.4149983729816633,0.7890215465360458,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00')]",statistical
U0049,8,0.1509433962264151,7.211102550927981,1.1243138673410749,0.47304563116871023,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0050,4,0.07547169811320754,2.9834709485930815,1.368510033801551,0.8152133857595862,"[Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-22 00:00:00'), Timestamp('2025-06-24 00:00:00')]",statistical
U0051,3,0.05660377358490566,2.7037649357120905,1.3075458766965824,0.7814094360281174,"[Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0052,1,0.018867924528301886,2.917385578537981,1.4693803812929047,0.7025142530258679,[Timestamp('2025-06-08 00:00:00')],statistical
U0053,4,0.07547169811320754,2.57390753524675,1.0456221181117438,0.6854345735730478,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0054,4,0.07547169811320754,2.6330031676713106,1.4470638445819355,1.0395959274682587,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0055,3,0.05660377358490566,3.0431350170025837,1.4036678350682894,0.8538940526264215,"[Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-19 00:00:00')]",statistical
U0056,6,0.11320754716981132,2.544001969874881,0.9203443647566328,0.45226701686664567,"[Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0057,5,0.09433962264150944,2.6190150331894357,1.4538758372880005,0.9515830684867604,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00')]",statistical
U0058,5,0.09433962264150944,2.587661334532368,1.4378160124062227,0.7104566703007541,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0059,5,0.09433962264150944,2.634969226997752,1.4135843500989653,0.9435183924675247,"[Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-07-01 00:00:00'), Timestamp('2025-07-02 00:00:00')]",statistical
U0060,7,0.1320754716981132,3.40655023847009,1.3564506025848995,0.6575959492214292,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-18 00:00:00')]",statistical
U0061,3,0.05660377358490566,2.6089722211786306,1.493019490974155,0.6940608259421699,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0062,4,0.07547169811320754,2.7526668759297728,0.9527836747388736,0.4893630001652928,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0063,4,0.07547169811320754,2.961984975643574,0.9721866547177841,0.5265751067810795,"[Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00'), Timestamp('2025-06-18 00:00:00')]",statistical
U0064,5,0.09433962264150944,2.6422353050792826,1.32097619067217,0.657595949221429,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0065,8,0.1509433962264151,2.600649972927948,1.436386207495816,0.605608931283572,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0066,5,0.09433962264150944,2.561385673377545,1.4643217025191513,0.7588166421751292,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0067,12,0.22641509433962265,2.7612522971841353,1.2700351741814948,0.610783918271145,"[Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00')]",statistical
U0068,6,0.11320754716981132,2.627401889195605,1.3564273533631628,0.7398954355004849,"[Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0069,4,0.07547169811320754,2.8932663228385094,1.4431080631367996,0.5830259592621678,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0070,3,0.05660377358490566,2.760280267869666,1.023269688861316,0.4907164920657185,"[Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0071,7,0.1320754716981132,2.9834709485930815,1.2209999213909746,0.610356489236768,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0072,5,0.09433962264150944,2.5964539344474926,1.2113055004140358,0.5991446895152779,"[Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0073,2,0.03773584905660377,2.819574435974337,1.3898621237177498,0.7327129509119745,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0074,10,0.18867924528301888,3.0983866769659336,1.2331571129895305,0.5140235242537433,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-22 00:00:00'), Timestamp('2025-06-23 00:00:00')]",statistical
U0075,7,0.1320754716981132,2.608166640111663,1.0164491623391942,0.4467025737207821,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00')]",statistical
U0076,6,0.11320754716981132,2.8456039747465396,1.160078406849351,0.5838482921350614,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0077,4,0.07547169811320754,3.0638328694073844,1.1116847736303281,0.5446813990057572,"[Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0078,5,0.09433962264150944,2.797765252622927,1.2813208625140289,0.9108655456151917,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0079,3,0.05660377358490566,2.9628355189695372,1.2936742935776862,0.6081799127140989,"[Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00')]",statistical
U0080,5,0.09433962264150944,2.595309356243204,0.9279798687395154,0.4613883299987919,"[Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00')]",statistical
U0081,5,0.09433962264150944,2.59470097260173,1.3617859661253464,0.631933488583569,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0082,3,0.05660377358490566,2.900209467136991,0.9705584700727586,0.5155927941576872,"[Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-19 00:00:00')]",statistical
U0083,4,0.07547169811320754,2.7228218015049057,1.3754992689103032,0.7171371656006363,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0084,0,0.0,2.4400191587441666,0.9217284336615568,0.43378118377674074,[],statistical
U0085,4,0.07547169811320754,2.772255189172089,1.248362640803722,0.5670521977852,"[Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0086,4,0.07547169811320754,2.8970223897634013,1.2315144347935305,0.5770998461593282,"[Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-23 00:00:00')]",statistical
U0087,5,0.09433962264150944,5.049752469181039,1.1787393550239011,0.5293328222536137,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0088,6,0.11320754716981132,3.174055271363692,1.441799128154042,0.7051064751106304,"[Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-18 00:00:00'), Timestamp('2025-06-25 00:00:00'), Timestamp('2025-06-26 00:00:00'), Timestamp('2025-07-03 00:00:00')]",statistical
U0089,6,0.11320754716981132,3.5,1.3697673347453645,0.607786096934195,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00')]",statistical
U0090,5,0.09433962264150944,2.8568629509107732,0.9567729739397492,0.507886746828582,"[Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00')]",statistical
U0091,5,0.09433962264150944,2.6103511641920525,0.9306173963334686,0.46406242918969814,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0092,9,0.16981132075471697,3.004543634836688,1.270916549210735,0.5920045427461655,"[Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00'), Timestamp('2025-06-18 00:00:00')]",statistical
U0093,4,0.07547169811320754,2.760280267869666,0.9227001158074748,0.4907164920657185,"[Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00')]",statistical
U0094,4,0.07547169811320754,2.648061199036097,1.472057324168967,0.6716578857628328,"[Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00')]",statistical
U0095,4,0.07547169811320754,2.6868664531193946,0.9436690611625792,0.4776651472212256,"[Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0096,6,0.11320754716981132,2.5469998054375225,1.4474465051711058,1.1366642573778907,"[Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00'), Timestamp('2025-06-17 00:00:00'), Timestamp('2025-07-03 00:00:00')]",statistical
U0097,7,0.1320754716981132,3.7503424501171474,1.2482451371764334,0.5680559911443971,"[Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
